Point Cloud Visibility
43
Visibility for camera video5771447340057498062_frame00000.jpg
280
0 11.6839 151.653
1 12.6146 361.091
2 22.5665 79.8526
3 23.9189 443.677
4 39.7284 235.251
5 40.6683 284.537
6 47.0185 177.224
7 49.3417 634.333
8 50.5124 329.868
9 50.9565 160.043
10 52.2041 271.273
11 52.5614 298.2
12 56.9516 167.335
13 60.4753 281.445
14 60.8566 189.953
15 64.18 1051.9
16 65.8666 311.236
17 67.8059 258.183
18 70.3167 227.048
19 72.3781 926.393
20 75.5488 236.725
21 76.0096 431.91
22 76.1497 1112.39
23 76.5501 183.33
24 78.975 276.012
25 79.5279 299.545
26 88.0673 1019.85
27 88.5 881.152
28 88.62 260.543
29 88.62 260.543
30 90.1879 255.325
31 92.8912 300.386
32 92.8912 300.386
33 93.8688 109.408
34 94.1402 728.989
35 94.7288 1208.85
36 97.1202 878.561
37 97.7722 942.299
38 99.4496 1139.85
39 99.7441 956.95
40 100.22 207.379
41 101.744 1112.58
42 105.441 691.359
43 108.114 282.283
44 108.881 1029.15
45 108.892 207.759
46 110.242 188.748
47 110.784 231.547
48 111.301 1139.59
49 111.643 166.914
50 116.333 1163.67
51 116.333 1163.67
52 117.2 208.746
53 123.328 153.666
54 123.367 162.75
55 125.105 282.998
56 126.588 1136.02
57 128.131 1044.88
58 128.365 254.599
59 129.508 255.947
60 130.536 228.225
61 130.786 1122.15
62 130.902 1034.44
63 130.902 1034.44
64 131.341 306.041
65 133.216 146.528
66 134.002 356.31
67 134.525 937.935
68 136.048 1158.61
69 136.741 959.633
70 137.407 357.261
71 138.896 238.912
72 142.5 136.32
73 143.818 1041.34
74 144.244 246.418
75 144.244 246.418
76 146.198 442.044
77 147.67 332.175
78 148.012 991.575
79 148.146 1147.03
80 150.135 1118.07
81 150.543 285.16
82 151.564 383.52
83 151.588 1125.76
84 152.144 368.881
85 152.805 1190.15
86 154.378 1156.76
87 155.364 1199.29
88 159.597 1175.91
89 163.214 1163.9
90 163.227 1246.82
91 165.253 1192.9
92 167.429 428.655
93 167.961 311.064
94 177.517 411.093
95 179.85 1078.14
96 179.9 245.779
97 179.9 245.779
98 184.059 333.092
99 187.072 241.76
100 189.832 330.417
101 191.002 1093.84
102 192.982 414.421
103 195.008 1215.88
104 197.7 433.192
105 197.949 134.652
106 198.04 604.761
107 198.651 596.234
108 199.716 170.89
109 202.684 267.531
110 202.7 255.215
111 202.845 386.895
112 203.775 599.79
113 214.647 453.886
114 215.644 613.654
115 217.068 269.254
116 217.213 1184.2
117 218.796 1201.69
118 222.627 445.053
119 222.627 445.053
120 222.948 301.073
121 225.536 334.899
122 229.027 335.629
123 231.013 413.855
124 231.453 1198.07
125 232.435 1152.79
126 234.134 324.037
127 235.328 844.872
128 235.568 444.041
129 236.7 1248.42
130 237.959 1141.6
131 238.126 367.855
132 241.009 279.683
133 241.169 335.131
134 243.336 396.739
135 244.851 308.734
136 244.961 893.436
137 246.835 838.94
138 246.835 838.94
139 247.061 867.171
140 248.874 776.037
141 249.205 346.248
142 250.607 1237.34
143 251.465 922.518
144 251.465 922.518
145 251.698 847.312
146 252.194 497.119
147 252.674 323.738
148 253.143 1240.48
149 253.422 1086.97
150 257.437 1129.76
151 258.124 178.105
152 259.276 269.928
153 260.733 801.877
154 261.307 1116.28
155 262.4 855.71
156 264.439 820.155
157 266.653 1067.81
158 280.875 1119.43
159 294.758 1161.08
160 295.034 1240.02
161 300.765 1135.96
162 306.955 205.687
163 313.967 1138.53
164 315.451 1054.43
165 318.979 1174.28
166 319.455 972.848
167 321.258 175.03
168 321.981 1131.04
169 322.933 236.014
170 326.719 883.014
171 327.797 901.065
172 329.633 1141.75
173 337.203 969.84
174 346.24 1210.35
175 351.213 967.729
176 355.518 921.272
177 357.439 478.974
178 360.179 1166.69
179 362.503 901.417
180 366.318 1126.1
181 369.424 775.099
182 370.124 1060.89
183 371.063 1011.16
184 371.381 1093.8
185 371.627 910.118
186 371.969 873.219
187 372.68 754.642
188 373.32 726.141
189 373.579 766.233
190 379.859 684.332
191 380.341 853.085
192 384.344 966.111
193 385.174 917.945
194 392.204 1058.62
195 401.774 915.905
196 401.863 1184.9
197 404.631 376.302
198 409.963 552.079
199 413.51 1154.09
200 416.366 1063.78
201 420.471 738.916
202 421.45 901.837
203 422.932 1132.96
204 424.093 1053.91
205 425.512 1123.65
206 433.902 981.765
207 439.723 162.55
208 439.848 1121.24
209 445.005 1034.51
210 447.02 963.367
211 447.02 963.367
212 449.361 742.953
213 451.348 905.19
214 461.367 1131.23
215 462.026 1094.23
216 471.147 723.54
217 472.543 979.093
218 472.76 1133.75
219 481.638 723.666
220 488.376 103.557
221 488.869 1198.45
222 493.277 486.211
223 498.321 855.231
224 498.321 855.231
225 505.078 695.51
226 510.077 113.188
227 510.468 1128.95
228 511.923 1028.88
229 512.593 695.438
230 519.651 975.134
231 521.801 913.081
232 523.278 808.603
233 523.984 737.332
234 526.685 1108.55
235 529.111 808.511
236 529.111 808.511
237 536.336 1014.45
238 544.838 1098.88
239 545.532 1149.79
240 560.075 422.311
241 563.512 957.353
242 567.315 556.492
243 569.764 151.561
244 569.836 423.496
245 572.487 826.44
246 573.965 908.81
247 576.512 424.259
248 578.799 1092.47
249 580.269 329.358
250 584.08 390.123
251 587.217 848.012
252 594.915 173.697
253 600.806 1263.18
254 600.806 1263.18
255 603.738 1252.13
256 605.276 1015.6
257 606.413 1197.78
258 608.024 1111.59
259 612.845 836.113
260 613.737 170.457
261 619.03 1114
262 634.05 965.919
263 634.741 212.687
264 636.102 1027.98
265 636.161 935.306
266 640.088 774.296
267 648.051 135.893
268 652.392 1107.72
269 658.189 1076.71
270 658.189 1076.71
271 662.684 1089.37
272 663.558 850.196
273 690.446 819.699
274 694.795 640.029
275 695.982 563.443
276 705.595 832.147
277 706.004 161.623
278 707.627 631.398
279 712.062 1094.9
Visibility for camera video5771447340057498062_frame00001.jpg
302
18 14.4492 164.263
23 21.9061 118.243
25 23.0411 238.326
26 11.7445 955.677
27 30.0313 823.852
28 32.0466 197.706
29 32.0466 197.706
30 34.3201 192.702
31 37.1756 240.176
32 37.1756 240.176
33 37.2145 41.7054
34 38.029 673.416
36 37.2069 820.719
38 7.25558 1066.98
39 30.9252 896.151
40 44.3032 144.977
42 44.8256 636.461
43 52.8575 220.508
44 29.8341 965.269
45 52.8529 144.012
46 54.6599 123.988
47 55.5855 168.784
48 18.8656 1067.1
50 20.9164 1089.59
52 62.663 145.492
53 68.5789 88.4144
56 35.2705 1064.19
57 47.6538 979.107
58 72.435 191.351
59 74.7414 195.327
60 76.0257 165.487
61 41.2592 1050.82
62 52.9633 969.095
63 52.9633 969.095
64 75.8344 247.696
65 79.5363 81.8253
67 68.3289 878.165
68 41.2746 1084.74
69 69.1651 899.101
70 82.8017 299.138
71 85.7828 177.041
72 88.3773 71.0931
77 93.047 273.215
78 75.2182 929.051
79 54.172 1074.93
80 60.9571 1048.02
82 97.4309 325.817
83 60.3169 1054.97
85 53.1924 1113.93
86 58.9651 1083.58
87 54.9847 1122.1
88 63.5452 1100.95
89 66.5785 1089.67
90 55.9741 1166.4
91 64.0133 1116.9
94 123.08 356.025
